month,district,count,mean,std,min,50%,80%,90%,max
6,上海周边,2.0,2500.0,424.26406871192853,2200.0,2500.0,2680.0,2740.0,2800.0
6,嘉定,785.0,5255.515923566879,2637.110648322054,1500.0,4700.0,6500.0,7500.0,30000.0
6,奉贤,526.0,3172.3954372623575,1265.5430468109423,1100.0,3000.0,4000.0,4500.0,15000.0
6,宝山,1333.0,5787.313578394599,2946.749521241007,2200.0,5200.0,7200.0,8459.99999999999,68000.0
6,崇明,26.0,2451.923076923077,1067.5655267224367,1000.0,2425.0,3100.0,3400.0,5800.0
6,徐汇,1561.0,10763.80269058296,10167.50115435767,2800.0,7500.0,14000.0,20000.0,160000.0
6,普陀,1101.0,9517.418710263397,6554.647163929821,3000.0,7500.0,13000.0,16500.0,110000.0
6,杨浦,1080.0,7966.287962962963,6302.944154245099,2300.0,6200.0,9500.0,13000.0,82500.0
6,松江,1401.0,6245.734475374732,4855.343892721624,1500.0,5200.0,7500.0,9500.0,80000.0
6,浦东,1023.0,11631.6568914956,18883.02204796578,1100.0,7400.0,13600.0,20000.0,400000.0
6,虹口,730.0,10321.820547945206,25385.43477926048,2600.0,6800.0,12800.0,17000.0,660000.0
6,金山,58.0,2450.844827586207,1043.8404092870214,1000.0,2250.0,3120.0000000000005,3660.000000000001,6000.0
6,长宁,1324.0,10991.69335347432,7896.689528806513,2900.0,8000.0,15000.0,20000.0,110000.0
6,闵行,2390.0,8697.71338912134,9508.043722650964,1700.0,6700.0,10800.0,14500.0,330000.0
6,青浦,1050.0,9111.424761904762,9844.696029768891,1800.0,5500.0,11500.0,20000.0,120000.0
6,静安,1606.0,12046.120797011208,13592.935300463814,2900.0,8500.0,15800.0,23944.0,333333.0
6,黄浦,850.0,15709.044705882354,14988.585447522033,3800.0,11000.0,20000.0,28000.0,185000.0
12,上海周边,1.0,3000.0,,3000.0,3000.0,3000.0,3000.0,3000.0
12,嘉定,985.0,5183.46192893401,2533.2028264193127,1700.0,4600.0,6220.000000000005,7500.0,27000.0
12,奉贤,390.0,3117.3333333333335,1408.5267574286472,1000.0,2800.0,3800.0,4500.0,15000.0
12,宝山,1968.0,5520.697662601626,2404.2095362528353,1700.0,5000.0,6900.0,8000.0,38000.0
12,崇明,22.0,4872.727272727273,7042.130482432269,1000.0,2550.0,3740.0,7450.000000000001,32000.0
12,徐汇,1900.0,10632.882631578947,19865.52375916168,2500.0,7100.0,13000.0,18500.0,750000.0
12,普陀,1491.0,8073.028839704896,5675.016910465293,2100.0,6200.0,10800.0,13800.0,69000.0
12,杨浦,1337.0,6957.417352281227,5842.454906259416,2500.0,5500.0,8079.999999999995,11000.0,100000.0
12,松江,1569.0,5924.752071383046,4535.503377868939,1300.0,5000.0,7000.0,8800.0,75000.0
12,浦东,543.0,9522.302025782688,8761.798921263624,1600.0,6600.0,12000.0,17800.00000000001,88000.0
12,虹口,934.0,8438.38329764454,20069.104388936743,1300.0,6000.0,10000.0,13800.0,600000.0
12,金山,86.0,2998.2558139534885,1600.6514790293177,1000.0,2550.0,4000.0,4550.0,10000.0
12,长宁,1421.0,10022.522871217452,8245.420173977021,3000.0,7000.0,13500.0,19000.0,110000.0
12,闵行,2228.0,7750.374775583483,10620.148130739164,1700.0,5800.0,8860.000000000015,12000.0,300000.0
12,青浦,1045.0,8035.145454545454,8568.297673121608,1300.0,5300.0,9500.0,14500.0,90000.0
12,静安,2013.0,9912.978638847491,10699.377855467872,2300.0,6900.0,12800.0,18439.999999999985,230000.0
12,黄浦,929.0,15615.418729817007,20342.026562046,1300.0,9500.0,19000.0,28160.000000000036,240000.0
