district,count,mean,std,min,50%,80%,90%,max
上海周边,4.0,2475.0,512.3475382979799,1900.0,2500.0,2880.0,2940.0,3000.0
嘉定,6024.0,5067.946547144755,2223.477555865851,1100.0,4600.0,6200.0,7400.0,38000.0
奉贤,2141.0,3077.359177954227,1231.794387653344,1000.0,2800.0,3800.0,4500.0,16000.0
宝山,9814.0,5527.541267576931,2547.737905888767,1000.0,5000.0,6800.0,8000.0,90000.0
崇明,141.0,2874.822695035461,2988.415873439323,1000.0,2400.0,3300.0,3800.0,32000.0
徐汇,9762.0,9390.62164515468,11692.018310526228,1800.0,6800.0,11500.0,16500.0,750000.0
普陀,8446.0,7819.206547478097,5006.922521143375,1000.0,6200.0,10000.0,13500.0,110000.0
杨浦,7354.0,6822.001631765026,4533.140780636604,2150.0,5500.0,8300.0,11000.0,100000.0
松江,7917.0,5747.038082607048,3889.2337361269388,1300.0,5000.0,6800.0,8500.0,80000.0
浦东,8969.0,9577.899096889285,11146.537590577642,1100.0,6650.0,11270.000000000027,17000.0,400000.0
虹口,4705.0,8421.821891604675,14631.367143624984,1300.0,6200.0,11000.0,15000.0,660000.0
金山,340.0,2746.1,1264.643961695349,1000.0,2500.0,3500.0,4305.000000000001,10000.0
长宁,7434.0,9873.246099004573,7634.164323429771,2500.0,7000.0,13000.0,18000.0,156000.0
闵行,14108.0,7508.720477743124,6875.403404472307,1500.0,6000.0,9000.0,12000.0,315000.0
青浦,5118.0,7709.702227432591,8182.02464118636,1300.0,5000.0,9500.0,14000.0,140000.0
静安,9481.0,9734.269328129943,9236.019683285318,1500.0,7000.0,12650.0,18000.0,333333.0
黄浦,4593.0,14135.096559982581,15367.569235548273,1200.0,9300.0,18000.0,26000.0,240000.0
