district,subdistrict,count,mean,std,min,50%,80%,90%,max
嘉定,丰庄,82.0,5332.231707317073,1408.892887295242,2300.0,5000.0,6159.999999999999,7180.000000000001,11000.0
嘉定,南翔,251.0,5892.306772908367,4272.5250339247805,2300.0,4800.0,6960.0,7890.0,45000.0
嘉定,嘉定新城,209.0,4732.488038277512,2533.720121659909,2200.0,4200.0,5300.0,6500.0,23000.0
嘉定,嘉定老城,99.0,3276.6969696969695,2233.0051612328984,1938.0,2900.0,3600.0,4010.0,24000.0
嘉定,外冈,18.0,5005.555555555556,3665.3339824106592,2200.0,3400.0,7680.000000000008,11300.0,13000.0
嘉定,安亭,298.0,3763.503355704698,1315.260653836641,1500.0,3600.0,4218.000000000001,5200.0,12800.0
嘉定,徐行,25.0,3858.84,1421.4403985629037,2300.0,3600.0,3820.0000000000005,3960.0,10000.0
嘉定,新成路,21.0,3509.1428571428573,1182.5287432326659,2244.0,3000.0,5000.0,5200.0,5800.0
嘉定,江桥,265.0,5301.094339622641,1791.686065407502,2300.0,5000.0,6340.000000000004,7500.0,16000.0
嘉定,菊园新区,126.0,3913.6428571428573,1261.0267972682307,1800.0,3630.0,4800.0,5450.0,10000.0
嘉定,马陆,15.0,4194.0,583.4326990199592,3060.0,4300.0,4500.0,4560.0,5600.0
奉贤,南桥,254.0,2879.5078740157483,1012.6701789043177,1200.0,2600.0,3640.0000000000005,4170.000000000002,8300.0
奉贤,四团,11.0,2964.3636363636365,662.5929780381426,1800.0,2958.0,3500.0,3600.0,4300.0
奉贤,奉贤金汇,105.0,2679.209523809524,740.7489154076809,1500.0,2700.0,3271.2000000000003,3800.0,4400.0
奉贤,庄行,13.0,3598.076923076923,1644.3863324220406,1950.0,3000.0,3840.0000000000014,5640.000000000001,8000.0
奉贤,柘林,1.0,2625.0,,2625.0,2625.0,2625.0,2625.0,2625.0
奉贤,海湾,73.0,3216.3424657534247,1747.806070948329,1000.0,2700.0,3960.0,5898.399999999999,10000.0
奉贤,西渡,63.0,3304.8571428571427,1355.3146385932876,1600.0,3000.0,3860.0,4740.000000000001,8000.0
宝山,上大,253.0,5374.620553359684,1840.667571675329,2600.0,5000.0,6500.0,7400.0,23000.0
宝山,共富,53.0,4944.018867924528,1449.8336309140655,2800.0,4500.0,5960.0,7320.000000000004,8500.0
宝山,共康,101.0,5695.029702970297,1700.4271548963543,3100.0,5200.0,7000.0,7900.0,12000.0
宝山,大华,158.0,6967.53164556962,2228.2573484887444,3700.0,6550.0,8184.0,9347.000000000005,19800.0
宝山,大场镇,83.0,4737.289156626506,1142.8859227595565,2300.0,4500.0,5560.000000000001,6180.0,8600.0
宝山,张庙,116.0,4304.2844827586205,1055.5250974795888,2500.0,4230.0,4900.0,5200.0,8500.0
宝山,月浦,76.0,3199.3026315789475,623.6356632893245,1995.0,3150.0,3800.0,4000.0,4700.0
