month,district,count,mean,std,min,50%,80%,90%,max
2,嘉定,2509.0,4703.624153049023,2688.1210169011574,1500.0,4140.0,5600.0,6800.0,45000.0
2,奉贤,851.0,2994.560517038778,1302.6133712129592,1000.0,2800.0,3600.0,4200.0,17000.0
2,宝山,3762.0,4942.132376395534,2178.392152758138,700.0,4500.0,6000.0,7200.0,35000.0
2,崇明,343.0,2316.116618075802,1838.8514080752534,500.0,2000.0,3000.0,3500.0,20000.0
2,徐汇,3269.0,9187.944325481798,8042.527487395756,2100.0,6519.0,12000.0,16500.0,150000.0
2,普陀,2828.0,7319.003182461103,4925.732271876933,800.0,5600.0,9000.0,13000.0,65000.0
2,杨浦,2472.0,6667.508899676375,4640.280656266511,2500.0,5390.0,7658.000000000002,10479.000000000018,68000.0
2,松江,2934.0,5783.763462849352,4682.264618646922,1200.0,4600.0,6690.0,9000.0,78000.0
2,浦东,1587.0,7970.712035286704,7450.481648716163,1300.0,5800.0,8500.0,14000.0,100000.0
2,虹口,1686.0,8111.473309608541,13451.452173253148,2100.0,5800.0,10000.0,13725.0,500000.0
2,金山,505.0,2608.952475247525,1136.6904871643521,600.0,2500.0,3200.0,3800.0,10000.0
2,长宁,2730.0,9815.379487179487,8097.360676831024,2288.0,6630.0,13000.0,19000.0,110000.0
2,闵行,4016.0,7376.664840637451,7940.316623687141,700.0,5600.0,8500.0,12000.0,300000.0
2,青浦,1914.0,8288.128526645767,10532.695749492437,1500.0,4700.0,9500.0,17500.0,150000.0
2,静安,3260.0,9065.601840490797,7707.503354793782,2200.0,6500.0,12000.0,17000.0,158000.0
2,黄浦,1651.0,13622.531798909751,13841.161227494727,2100.0,8890.0,17500.0,25000.0,150000.0
3,嘉定,2228.0,4759.667863554758,2707.6179255597194,1400.0,4200.0,5700.0,7000.0,45000.0
3,奉贤,745.0,3049.026845637584,1434.6307997308602,1000.0,2793.0,3700.0,4300.0,17000.0
3,宝山,3201.0,5024.50328022493,2322.8864487566675,1200.0,4500.0,6200.0,7300.0,35000.0
3,崇明,325.0,2399.270769230769,1993.4143596286724,500.0,2000.0,3000.0,3800.0,20000.0
3,徐汇,2949.0,9455.227873855545,8420.101935976487,2200.0,6700.0,12000.0,17000.0,150000.0
3,普陀,2393.0,7650.2720434600915,5105.77195812931,1200.0,5800.0,9990.0,13500.0,65000.0
3,杨浦,2220.0,6822.238738738739,4758.206490245704,2500.0,5500.0,8000.0,11000.0,65000.0
3,松江,2630.0,5799.18288973384,4670.159615247284,1200.0,4600.0,6751.800000000003,8800.0,78000.0
3,浦东,1184.0,7726.201013513513,7043.005310400669,1450.0,5645.0,8500.0,13140.00000000001,90000.0
3,虹口,1492.0,8188.799597855228,13794.314873224033,2703.0,5890.0,10800.0,13800.0,500000.0
3,金山,502.0,2625.266932270916,1142.9730502836899,800.0,2500.0,3200.0,3800.0,10000.0
3,长宁,2377.0,9998.679427850231,8132.518779476445,2188.0,6800.0,13920.000000000027,19880.00000000002,110000.0
3,闵行,3255.0,7666.41044546851,8697.445320962848,700.0,5790.0,8900.0,12500.0,300000.0
3,青浦,1755.0,8364.610256410257,10250.416037428611,1500.0,4800.0,9900.0,17000.0,98000.0
3,静安,2855.0,9256.899124343257,7972.934256844345,2200.0,6700.0,12500.0,17500.0,158000.0
3,黄浦,1490.0,13277.543624161073,12882.358128492953,2500.0,9000.0,17000.0,25000.0,130000.0
