district,count,mean,std,min,50%,80%,90%,max
嘉定,7334.0,4556.811289882738,2223.267508312413,1500.0,4100.0,5500.0,6700.0,45000.0
奉贤,2520.0,2898.3125,1189.2034120881308,900.0,2700.0,3500.0,4100.0,17000.0
宝山,11284.0,4787.535138248848,2062.2234556182407,600.0,4400.0,5900.0,7000.0,60000.0
崇明,950.0,2188.4778947368422,1586.0840397582194,500.0,2000.0,2800.0,3500.0,20000.0
徐汇,9400.0,8580.65585106383,6898.755019960189,2000.0,6400.0,10000.0,15000.0,150000.0
普陀,8511.0,6993.549171660205,4449.696796265148,800.0,5500.0,8600.0,12000.0,65000.0
杨浦,7772.0,6323.6239063304165,4005.1189877206925,1000.0,5200.0,7500.0,9800.0,68000.0
松江,8095.0,5319.693082149475,3840.495796487509,800.0,4500.0,6300.0,7800.0,78000.0
浦东,7252.0,7964.801296194153,8038.795206799817,1300.0,5761.0,8800.0,13799.000000000005,150000.0
虹口,5146.0,7901.614846482705,8880.863632048678,2100.0,5712.0,11000.0,13800.0,500000.0
金山,1167.0,2474.134532990574,967.1625753466778,600.0,2400.0,3000.0,3500.0,10000.0
长宁,7265.0,9230.49745354439,7311.373278465347,2188.0,6500.0,12000.0,17780.00000000002,135000.0
闵行,12402.0,6798.149169488792,6418.843235513791,700.0,5500.0,8000.0,10500.0,300000.0
青浦,4856.0,7335.675658978583,8877.68125498551,1300.0,4500.0,8500.0,14000.0,136000.0
静安,8987.0,8521.468287526428,6740.037884769026,1900.0,6260.0,11000.0,16000.0,158000.0
黄浦,4174.0,12540.091399137518,12342.601993614348,1100.0,8500.0,16000.0,23000.0,150000.0
