district,subdistrict,count,mean,std,min,50%,80%,90%,max
嘉定,丰庄,609.0,5307.046798029557,1437.802154409328,2300.0,5000.0,6300.0,7068.000000000004,15000.0
嘉定,华亭,3.0,2250.0,444.40972086577943,1750.0,2400.0,2520.0,2560.0,2600.0
嘉定,南翔,1483.0,5556.878287255563,3007.4975300471056,2200.0,4800.0,6800.0,7800.0,45000.0
嘉定,嘉定新城,1262.0,4649.664817749604,2607.015389378876,1700.0,4000.0,5290.000000000004,6500.0,33000.0
嘉定,嘉定老城,530.0,3106.8320754716983,1347.4780273273102,1500.0,2800.0,3564.000000000001,4300.0,24000.0
嘉定,外冈,135.0,3696.314814814815,2285.714780705175,1500.0,3200.0,4200.0,5320.000000000004,18000.0
嘉定,安亭,1416.0,3724.8735875706216,1770.6295361612563,1400.0,3500.0,4250.0,4900.0,45000.0
嘉定,徐行,148.0,3483.3614864864867,887.8267623445411,1950.0,3500.0,3900.0,4165.000000000001,10000.0
嘉定,新成路,81.0,3268.4444444444443,1342.4918249285543,1820.0,2700.0,4475.0,5000.0,8300.0
嘉定,江桥,1582.0,5101.238305941846,1573.2422426685598,2290.0,4900.0,6000.0,7000.0,20000.0
嘉定,菊园新区,793.0,3780.1992433795713,1212.0344938541791,1700.0,3500.0,4600.0,5200.0,15000.0
嘉定,马陆,79.0,3914.746835443038,808.4817437381045,2200.0,4000.0,4500.0,4620.0,6600.0
奉贤,南桥,1353.0,2843.4837398373984,982.6225274947371,1200.0,2600.0,3500.0,4000.0,9200.0
奉贤,四团,37.0,3211.027027027027,903.6433197059829,1500.0,3200.0,3580.0,4540.0,5500.0
奉贤,奉城,6.0,2166.6666666666665,1376.468912350245,1000.0,1800.0,2200.0,3500.0,4800.0
奉贤,奉贤金汇,571.0,2673.3546409807354,793.2280898442119,1300.0,2600.0,3200.0,3800.0,6800.0
奉贤,庄行,38.0,3550.0,2119.6952866174206,1450.0,2950.0,3330.0,5380.000000000003,12400.0
奉贤,柘林,23.0,2222.8260869565215,608.0386240852192,1200.0,2400.0,2850.0000000000005,3000.0,3150.0
奉贤,海湾,317.0,3120.9968454258674,2005.447461430899,900.0,2520.0,3580.000000000001,5500.0,17000.0
奉贤,西渡,353.0,3266.559490084986,2185.2314215590663,1200.0,2906.5,3930.000000000001,4500.0,37200.0
宝山,上大,1365.0,5376.09706959707,1633.963529213792,1900.0,5100.0,6500.0,7300.0,23000.0
宝山,共富,285.0,5035.436842105263,1746.885966657262,2650.0,4560.0,6000.0,7645.0,12950.0
宝山,共康,633.0,5424.359399684045,1586.0999140907716,2200.0,5000.0,6600.0,7500.0,12000.0
宝山,大华,958.0,6640.460855949896,1831.0636018685634,3300.0,6415.0,7800.0,8615.000000000004,20000.0
宝山,大场镇,434.0,4798.001152073733,1337.7378869403801,1700.0,4500.0,5800.0,6800.0,12000.0
宝山,张庙,752.0,4250.303856382979,1015.2458606408388,1200.0,4100.0,4926.000000000002,5500.0,9500.0
宝山,月浦,362.0,3142.3812154696134,717.0951276777989,1700.0,3000.0,3700.0,4200.0,6300.0
宝山,杨行,1123.0,5251.770258236866,2485.386725508864,2600.0,5000.0,6000.0,6500.0,60000.0
宝山,淞南,698.0,5209.5236389684815,2183.4939582359134,2500.0,4600.0,6246.0,7651.000000000012,19000.0
宝山,淞宝,1041.0,3924.198847262248,1544.3038244622298,1800.0,3500.0,4490.0,5500.0,16000.0
宝山,罗店,975.0,4081.8876923076923,2748.862798086251,1700.0,3300.0,4810.000000000002,6000.0,25520.0
宝山,罗泾,61.0,3900.934426229508,1417.97817177431,1200.0,3750.0,4300.0,4800.0,11500.0
宝山,通河,299.0,4281.852842809364,813.7114500298472,2300.0,4200.0,4830.0,5288.4,7350.0
宝山,顾村,2687.0,4161.848716040194,1802.3329200954158,600.0,3900.0,4790.0,5500.0,36000.0
宝山,高境,685.0,5569.111678832117,2066.40097867959,2250.0,5200.0,6800.0,7800.0,24000.0
崇明,崇明其它,3.0,8150.0,7197.048005953552,650.0,8800.0,12520.0,13760.0,15000.0
崇明,崇明新城,363.0,1994.7892561983472,949.924975415112,500.0,1850.0,2630.000000000001,3200.0,8000.0
崇明,长兴岛,199.0,3013.3693467336684,1204.4580691826793,1300.0,2799.5,3800.0,4348.000000000004,10000.0
崇明,陈家镇,459.0,1983.4520697167757,1875.2655861077465,500.0,1800.0,2500.0,3150.0,20000.0
徐汇,万体馆,502.0,7078.770916334662,2901.0157172836725,2200.0,6200.0,8500.0,11000.0,26000.0
徐汇,上海南站,417.0,5366.341726618705,1445.6474444979833,3000.0,5150.0,6283.200000000001,7000.0,13000.0
徐汇,华东理工,531.0,5241.536723163842,1723.9126285886286,3250.0,4800.0,5700.0,6600.0,16000.0
徐汇,华泾,371.0,7289.122641509434,5834.813521805366,1800.0,5350.0,8600.0,12000.0,58000.0
徐汇,康健,1141.0,6712.343120070114,3883.1691128124244,3200.0,5600.0,7200.0,10000.0,58000.0
徐汇,建国西路,332.0,12217.618975903615,11394.546633324398,2000.0,7800.0,17400.000000000007,27000.0,100000.0
徐汇,徐家汇,2754.0,9519.220951343501,5676.39212061772,2500.0,7500.0,13500.0,16870.00000000003,53000.0
徐汇,徐汇滨江,343.0,20728.32944606414,13899.750073668452,3000.0,18000.0,29920.000000000004,38500.0,118000.0
徐汇,斜土路,781.0,8065.036491677337,5013.463645104254,3200.0,6500.0,9800.0,14000.0,53800.0
